TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	Tervetuloa Hearthstoneen	

ACCESSIBILITY_PRESS_KEY_TO_START	Aloita painamalla {0}	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	Jatka painamalla {0}	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	Lopeta painamalla {0}	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	Pääset takaisin painamalla {0}	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	Sulje painamalla {0}	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	Kun olet valmis, paina {0}	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	Liiku ylä- ja alanuolella. Valitse kohde painamalla {0}	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	Liiku ylä- ja alanuolella. Valitse kohde painamalla {0}, pääset takaisin painamalla {1}	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	Liiku kohteiden välillä vasemmalla ja oikealla nuolella. Voit lukea valinnat ylä- ja alanuolella. Valitse kohde painamalla {0}	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	Liiku kohteiden välillä vasemmalla ja oikealla nuolella. Voit lukea valinnat ylä- ja alanuolella. Valitse kohde painamalla {0}, pääset takaisin painamalla {1}	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} kautta {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	Ei kohteita	

ACCESSIBILITY_OPTIONS_MENU_TITLE	Asetukset	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	Kuvanlaatu	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	Tarkkuus	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	Muuta äänenvoimakkuutta vasemmalla ja oikealla nuolella	
