TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	Добро пожаловать в Hearthstone	

ACCESSIBILITY_PRESS_KEY_TO_START	Нажмите {0}, чтобы начать	0=key e.g. Нажмите Enter, чтобы начать
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	Нажмите {0}, чтобы продолжить	0=key e.g. Нажмите Enter, чтобы продолжить
ACCESSIBILITY_PRESS_KEY_TO_FINISH	Нажмите {0}, чтобы закончить	0=key e.g. Нажмите Enter, чтобы закончить
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	Нажмите {0}, чтобы вернуться	0=key e.g. Нажмите Backspace, чтобы вернуться
ACCESSIBILITY_PRESS_KEY_TO_EXIT	Нажмите {0} для выхода	0=key e.g. Нажмите Enter для выхода
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	Когда закончите, нажмите {0}	0=key e.g. Когда закончите, нажмите Enter

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	Для перемещения по меню используйте клавиши со стрелками вверх и вниз. Нажмите {0} для выбора пункта меню.	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	Для перемещения по меню используйте клавиши со стрелками вверх и вниз. Нажмите {0}, чтобы выбрать пункт меню. Нажмите {1}, чтобы вернуться	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	Для перемещения по меню используйте клавиши со стрелками влево и вправо. Используйте клавиши со стрелками вверх и вниз, чтобы прочитать дополнительные варианты. Нажмите {0}, чтобы выбрать пункт меню.	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	Для перемещения по меню используйте клавиши со стрелками влево и вправо. Используйте клавиши со стрелками вверх и вниз, чтобы прочитать дополнительные варианты. Нажмите {0}, чтобы выбрать пункт меню. Нажмите {1}, чтобы вернуться	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} из {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	Нет предметов	

ACCESSIBILITY_OPTIONS_MENU_TITLE	Меню опций	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	Качество графики	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	Разрешение экрана	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	Для регулировки громкости используйте клавиши со стрелками влево и вправо.	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} флажок	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	Отмечено	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	Не отмечено	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	Главное меню	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	Нажмите {0} в любой момент, чтобы открыть игровое меню. Попробуйте сделать это прямо сейчас!	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_SOCIAL_MENU	Нажмите {0} в любое время, чтобы открыть социальное меню. Попробуйте сделать это прямо сейчас!	0=F4 key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_HELP	Если вы заблудились, нажмите {0} в любое время. Если вам нужна помощь зрячего человека, вы всегда можете нажать {1}, чтобы отключить специальные возможности и разрешить ему управлять игрой с помощью мыши в обычном режиме. Просто когда помощь зрячего человека будет не нужна, не забудьте нажать {1}, чтобы снова активировать специальные возможности.	0=Esc key 1=F8 key

ACCESSIBILITY_GLOBAL_LOADING_GAME	Загрузка игры...	
ACCESSIBILITY_GLOBAL_CLOSING_GAME	Закрытие игры...	
ACCESSIBILITY_GLOBAL_GAME_LOADED	Игра загружена	
ACCESSIBILITY_GLOBAL_LOADING	Загрузка	
ACCESSIBILITY_GLOBAL_PLEASE_WAIT	Пожалуйста подождите	
ACCESSIBILITY_GLOBAL_CARD	карту	
ACCESSIBILITY_GLOBAL_CARD_PLURAL	карты	
ACCESSIBILITY_GLOBAL_HERO	Герой	
ACCESSIBILITY_GLOBAL_HERO_POWER	Сила героя	
ACCESSIBILITY_GLOBAL_SECRET	{0} секрет	0=secret class e.g. {Mage} secret
ACCESSIBILITY_GLOBAL_GAME_SPEED	Скорость игры {0}	0=current game speed
ACCESSIBILITY_GLOBAL_GAME_SPEED_CANNOT_ADJUST_VS_PLAYERS	Вы не можете регулировать скорость игры, играя против реальных людей.	
ACCESSIBILITY_GLOBAL_NEW_HEARTHSTONE_ACCESS_VERSION_AVAILABLE	Доступна новая версия Hearthstone Access. Пожалуйста, запустите патчер, так как он может содержать исправления ошибок.	
ACCESSIBILITY_GLOBAL_CANNOT_DO_THAT	У вас не получится это сделать.	
ACCESSIBILITY_GLOBAL_SWITCH_FORMAT	Переключить формат	Used as a menu option for switching between standard, wild and classic
ACCESSIBILITY_GLOBAL_CHOOSE_FORMAT	Выберите формат	Used as a menu title for choosing standard, wild or classic

ACCESSIBILITY_GLOBAL_KEYWORD_CURSED	Проклят	

ACCESSIBILITY_GLOBAL_ACCESSIBILITY_ON	Специальные возможности включены.	Read when F8 is pressed and accessibility is turned on
ACCESSIBILITY_GLOBAL_ACCESSIBILITY_OFF	Специальные возможности отключены.	Read when F8 is pressed and accessibility is turned off

ACCESSIBILITY_FORMATTING_PERIOD	.	
ACCESSIBILITY_FORMATTING_SENTENCE_ENDING_CHARACTERS	.!?;	
ACCESSIBILITY_FORMATTING_LIST_SEPARATOR	, 	e.g. the ", " in A, B, C, D and E
ACCESSIBILITY_FORMATTING_LIST_FINAL_SEPARATOR	 и 	e.g. the " and " in A, B, C, D and E

ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_1	номер 1	Languages with grammatical genders can work around using digits and configure text that uses ordinal numbers such as "minion number 1" instead of "first minion"
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_2	номер 2	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_3	номер 3	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_4	номер 4	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_5	номер 5	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_6	номер 6	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_7	номер семь	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_8	номер 8	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_9	номер 9	
ACCESSIBILITY_FORMATTING_ORDINAL_NUMBER_10	номер 10	

ACCESSIBILITY_INPUT_COMMAND_WITH_MODIFIER_FORMAT	Shift + {0}	0=key e.g. Shift + F
ACCESSIBILITY_INPUT_COMMAND_WITH_CTRL_FORMAT	Ctrl + {0}	0=key e.g. Ctrl + F

ACCESSIBILITY_READ_CARD_COST	{0} маны	0=card cost
ACCESSIBILITY_READ_CARD_ATK_HEALTH	Атака: {0}, Здоровье: {1}	0=attack 1=health e.g. 3 2
ACCESSIBILITY_READ_CARD_ATK_DURABILITY	Атака: {0}, Прочность: {1}	0=attack 1=durability e.g. 1 3
ACCESSIBILITY_READ_HERO_CARD_ATK	{0} атаки	0=attack
ACCESSIBILITY_READ_HERO_CARD_HEALTH	{0} здоровья	0=health
ACCESSIBILITY_READ_HERO_CARD_ARMOR	{0} брони	0=armor
ACCESSIBILITY_READ_CARD_N_COPIES	{0} копий	0=number of copies
ACCESSIBILITY_READ_COLLECTION_CARD_NAME_GOLDEN	{0} - золотое издание	0=card name e.g. {fireball} - golden edition
ACCESSIBILITY_READ_COLLECTION_CARD_NAME_DIAMOND	{0} - алмазное издание	0=card name

ACCESSIBILITY_GAMEPLAY_OPPONENT_TURN	Ход противника	
ACCESSIBILITY_GAMEPLAY_TURN_ENDED	Ход завершен	
ACCESSIBILITY_GAMEPLAY_CARD_IN_ZONE_TRIGGERED	{0} срабатывает	0=full card name in zone e.g. {Your second Murloc Raider} triggered
ACCESSIBILITY_GAMEPLAY_PLAYER_CARD_TRIGGERED	Ваш {0} срабатывает	0=card name e.g. Your {Psyfiend} triggered
ACCESSIBILITY_GAMEPLAY_OPPONENT_CARD_TRIGGERED	У вашего противника срабатывает {0}	0=card name e.g. Your opponent's {Psyfiend} triggered
ACCESSIBILITY_GAMEPLAY_OPPONENT_CARD_TRIGGERED_BIG_CARD	У вашего противника срабатывает {0}; {1}	0=card name 1=cardText e.g. Your opponent's {Psyfiend} triggered; {After you cast a Shadow spell, deal 2 damage to each Hero.}
ACCESSIBILITY_GAMEPLAY_PLAYER_PLAYED_CARD	Вы сыграли картой {0}	0=card name e.g. You played {Fireball}
ACCESSIBILITY_GAMEPLAY_PLAYER_PLAYED_CARD_BIG_CARD	Вы сыграли картой {0}; {1}	0=card name 1=card text e.g. You played {Fireball}; {Deal 6 damage.}
