TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	欢迎来到炉石传说	

ACCESSIBILITY_PRESS_KEY_TO_START	按 {0} 开始	0=key e.g. Press Enter to start
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	按 {0} 继续	0=key e.g. Press Enter to continue
ACCESSIBILITY_PRESS_KEY_TO_FINISH	按 {0} 完成	0=key e.g. Press Enter to finish
ACCESSIBILITY_PRESS_KEY_TO_EXIT	按 {0} 退出	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	一旦你完成，按 {0} 	0=key e.g. Press Enter once you're done

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	 上下光标导航菜单。 按 {0} 选择一项	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	上下光标导航菜单。按 {0} 选一项。按 {1} 返回	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	上下光标阅读选项。按 {0} 选定选项	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	左右光标导航选项菜单。上下光标阅读选项。按 {0} 选择一个选项。按 {1} 返回	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} 之 {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2

ACCESSIBILITY_OPTIONS_MENU_TITLE	选项菜单	
ACCESSIBILITY_OPTIONS_MENU_MASTER_VOLUME_OPTION	调整主音量	
ACCESSIBILITY_OPTIONS_MENU_FULLSCREEN_OPTION	切换全屏	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_MASTER_VOLUME	左右光标调整音量	
ACCESSIBILITY_OPTIONS_MENU_FULLSCREEN_ON	开启全屏	
ACCESSIBILITY_OPTIONS_MENU_FULLSCREEN_OFF	关闭全屏	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	主菜单	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	随时按 {0} 打开游戏菜单 现在试试	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_HELP	 如果你感到迷惑，请随时按 {0} 如果你需要明眼人的帮助，你可以随时按 {1} 禁用辅助功能并能让他们照常鼠标控制游戏。只需记住在完成后按 {1} 即可重新激活辅助功能	0=Esc key 1=F8 key

ACCESSIBILITY_GLOBAL_LOADING_GAME	家在游戏	
ACCESSIBILITY_GLOBAL_CLOSING_GAME	 关闭游戏	
ACCESSIBILITY_GLOBAL_GAME_LOADED	加载成功	
ACCESSIBILITY_GLOBAL_LOADING	加载中	
ACCESSIBILITY_GLOBAL_PLEASE_WAIT	请稍后	
